addr_state;last_credit_pull_d;loan_status
LA;01-09-2011;"Fully Paid"
NY;01-09-2012;"Fully Paid"
TX;01-09-2012;"Fully Paid"
WI;01-09-2012;"Fully Paid"
NJ;01-09-2012;"Fully Paid"
GA;01-09-2012;"Fully Paid"
CA;01-09-2012;"Fully Paid"
WA;01-09-2013;"Fully Paid"
CA;01-09-2013;"Fully Paid"
DE;01-09-2013;"Fully Paid"
CA;01-09-2014;"Fully Paid"
AZ;01-09-2014;"Fully Paid"
VA;01-09-2014;"Fully Paid"
PA;01-09-2014;"Fully Paid"
MA;01-09-2014;"Fully Paid"
GA;01-09-2014;"Fully Paid"
MO;01-09-2014;"Fully Paid"
PA;01-09-2015;"Fully Paid"
CO;01-09-2015;"Fully Paid"
FL;01-09-2015;"Fully Paid"
TX;01-09-2015;"Fully Paid"
NJ;01-09-2015;"Fully Paid"
NY;01-09-2015;"Fully Paid"
MA;01-09-2015;"Fully Paid"
CA;01-09-2015;"Fully Paid"
SC;01-10-2007;"Fully Paid"
UT;01-10-2007;"Fully Paid"
NC;01-10-2007;"Fully Paid"
MD;01-10-2008;"Fully Paid"
NC;01-10-2008;"Fully Paid"
TX;01-10-2008;"Fully Paid"
NY;01-10-2008;"Fully Paid"
UT;01-10-2008;"Fully Paid"
NM;01-10-2008;"Fully Paid"
OR;01-10-2008;"Fully Paid"
AZ;01-10-2008;"Fully Paid"
NY;01-10-2009;"Charged Off"
MA;01-10-2009;"Charged Off"
SC;01-10-2009;"Fully Paid"
AZ;01-10-2009;"Charged Off"
CA;01-10-2009;"Charged Off"
IL;01-10-2009;"Charged Off"
MO;01-10-2009;"Fully Paid"
AR;01-10-2009;"Fully Paid"
VA;01-10-2009;"Charged Off"
NY;01-10-2010;"Fully Paid"
MD;01-10-2010;"Fully Paid"
NJ;01-10-2010;"Charged Off"
AZ;01-10-2010;"Fully Paid"
OR;01-10-2010;"Fully Paid"
NC;01-10-2010;"Fully Paid"
NJ;01-10-2010;"Fully Paid"
AL;01-10-2010;"Fully Paid"
AZ;01-10-2010;"Charged Off"
VA;01-10-2010;"Fully Paid"
WA;01-10-2010;"Fully Paid"
PA;01-10-2010;"Charged Off"
GA;01-10-2010;"Charged Off"
NM;01-10-2010;"Fully Paid"
SC;01-10-2010;"Fully Paid"
CA;01-10-2010;"Fully Paid"
CO;01-10-2010;"Fully Paid"
GA;01-10-2011;"Fully Paid"
WA;01-10-2011;"Fully Paid"
MI;01-10-2011;"Fully Paid"
AZ;01-10-2011;"Fully Paid"
CA;01-10-2011;"Fully Paid"
SC;01-10-2011;"Fully Paid"
KY;01-10-2011;"Fully Paid"
FL;01-10-2011;"Fully Paid"
IL;01-10-2011;"Fully Paid"
GA;01-10-2012;"Fully Paid"
RI;01-10-2012;"Fully Paid"
MI;01-10-2012;"Fully Paid"
WY;01-10-2012;"Fully Paid"
MA;01-10-2013;"Fully Paid"
CA;01-10-2013;"Fully Paid"
CO;01-10-2013;"Fully Paid"
NJ;01-10-2013;"Fully Paid"
TX;01-10-2014;"Fully Paid"
LA;01-10-2014;"Fully Paid"
OH;01-10-2014;"Fully Paid"
NY;01-10-2014;"Fully Paid"
CA;01-10-2014;"Fully Paid"
OH;01-10-2014;"Charged Off"
OR;01-10-2015;"Fully Paid"
IL;01-10-2015;"Fully Paid"
MD;01-10-2015;"Fully Paid"
OH;01-10-2015;"Fully Paid"
NY;01-10-2015;"Fully Paid"
MI;01-10-2015;"Fully Paid"
CA;01-10-2015;"Fully Paid"
MO;01-10-2015;"Fully Paid"
GA;01-10-2015;"Fully Paid"
NY;01-11-2009;"Fully Paid"
NY;01-11-2009;"Charged Off"
GA;01-11-2009;"Charged Off"
MN;01-11-2009;"Charged Off"
OK;01-11-2009;"Fully Paid"
TX;01-11-2009;"Fully Paid"
CA;01-11-2009;"Charged Off"
MA;01-11-2009;"Fully Paid"
LA;01-11-2009;"Fully Paid"
FL;01-11-2010;"Fully Paid"
CA;01-11-2010;"Charged Off"
OR;01-11-2010;"Fully Paid"
CO;01-11-2010;"Fully Paid"
MN;01-11-2010;"Fully Paid"
HI;01-11-2010;"Fully Paid"
TX;01-11-2010;"Fully Paid"
MA;01-11-2010;"Fully Paid"
LA;01-11-2010;"Fully Paid"
WI;01-11-2010;"Fully Paid"
IL;01-11-2010;"Fully Paid"
CA;01-11-2010;"Fully Paid"
NY;01-11-2010;"Fully Paid"
GA;01-11-2010;"Fully Paid"
NJ;01-11-2010;"Fully Paid"
GA;01-11-2011;"Fully Paid"
NJ;01-11-2011;"Fully Paid"
PA;01-11-2011;"Fully Paid"
MN;01-11-2011;"Fully Paid"
MS;01-11-2011;"Fully Paid"
FL;01-11-2011;"Fully Paid"
DE;01-11-2011;"Fully Paid"
KY;01-11-2011;"Fully Paid"
TX;01-11-2011;"Fully Paid"
LA;01-11-2011;"Fully Paid"
CA;01-11-2011;"Fully Paid"
UT;01-11-2011;"Fully Paid"
OH;01-11-2011;"Fully Paid"
IL;01-11-2011;"Fully Paid"
MD;01-11-2011;"Fully Paid"
VA;01-11-2011;"Fully Paid"
MA;01-11-2012;"Fully Paid"
NE;01-11-2012;"Fully Paid"
CA;01-11-2012;"Fully Paid"
NC;01-11-2012;"Fully Paid"
NY;01-11-2012;"Fully Paid"
FL;01-11-2012;"Fully Paid"
MI;01-11-2013;"Fully Paid"
AR;01-11-2013;"Fully Paid"
AZ;01-11-2013;"Fully Paid"
CA;01-11-2013;"Fully Paid"
TN;01-11-2013;"Fully Paid"
WI;01-11-2013;"Fully Paid"
NM;01-11-2013;"Fully Paid"
VA;01-11-2013;"Fully Paid"
IN;01-11-2013;"Fully Paid"
VA;01-11-2014;"Fully Paid"
CO;01-11-2014;"Fully Paid"
TX;01-11-2014;"Fully Paid"
CA;01-11-2014;"Fully Paid"
NY;01-11-2015;"Fully Paid"
GA;01-11-2015;"Fully Paid"
CT;01-11-2015;"Fully Paid"
NY;01-11-2015;"Charged Off"
FL;01-11-2015;"Fully Paid"
AL;01-11-2015;"Fully Paid"
VA;01-11-2015;"Fully Paid"
LA;01-12-2007;"Fully Paid"
TX;01-12-2007;"Fully Paid"
IL;01-12-2008;"Fully Paid"
VA;01-12-2008;"Fully Paid"
NC;01-12-2008;"Fully Paid"
NY;01-12-2008;"Fully Paid"
GA;01-12-2008;"Fully Paid"
IL;01-12-2009;"Fully Paid"
NC;01-12-2009;"Fully Paid"
MD;01-12-2009;"Charged Off"
CA;01-12-2009;"Fully Paid"
MA;01-12-2009;"Fully Paid"
MD;01-12-2009;"Fully Paid"
TX;01-12-2009;"Charged Off"
ID;01-12-2009;"Fully Paid"
VA;01-12-2009;"Fully Paid"
CA;01-12-2009;"Charged Off"
FL;01-12-2009;"Charged Off"
NC;01-12-2009;"Charged Off"
AZ;01-12-2009;"Charged Off"
CO;01-12-2009;"Charged Off"
KY;01-12-2010;"Fully Paid"
OH;01-12-2010;"Fully Paid"
VA;01-12-2010;"Fully Paid"
SC;01-12-2010;"Fully Paid"
MA;01-12-2010;"Fully Paid"
NJ;01-12-2010;"Fully Paid"
FL;01-12-2010;"Fully Paid"
MD;01-12-2010;"Fully Paid"
NH;01-12-2010;"Fully Paid"
CA;01-12-2010;"Fully Paid"
NY;01-12-2010;"Fully Paid"
IN;01-12-2010;"Fully Paid"
WI;01-12-2010;"Fully Paid"
GA;01-12-2010;"Fully Paid"
WA;01-12-2010;"Fully Paid"
TX;01-12-2010;"Fully Paid"
IL;01-12-2010;"Fully Paid"
AZ;01-12-2011;"Fully Paid"
OH;01-12-2011;"Fully Paid"
MS;01-12-2011;"Fully Paid"
CT;01-12-2011;"Fully Paid"
MA;01-12-2011;"Fully Paid"
TX;01-12-2011;"Fully Paid"
CA;01-12-2011;"Fully Paid"
WA;01-12-2011;"Charged Off"
OR;01-12-2011;"Fully Paid"
FL;01-12-2011;"Charged Off"
IL;01-12-2011;"Fully Paid"
AL;01-12-2011;"Fully Paid"
GA;01-12-2011;"Fully Paid"
MI;01-12-2011;"Charged Off"
VA;01-12-2011;"Fully Paid"
NY;01-12-2011;"Fully Paid"
CO;01-12-2011;"Fully Paid"
FL;01-12-2011;"Fully Paid"
NY;01-12-2012;"Fully Paid"
CA;01-12-2012;"Fully Paid"
OR;01-12-2012;"Fully Paid"
GA;01-12-2013;"Fully Paid"
FL;01-12-2013;"Fully Paid"
CA;01-12-2013;"Fully Paid"
MN;01-12-2014;"Fully Paid"
PA;01-12-2014;"Fully Paid"
NC;01-12-2014;"Fully Paid"
FL;01-12-2014;"Fully Paid"
CO;01-12-2014;"Fully Paid"
CA;01-12-2014;"Fully Paid"
OK;01-12-2015;"Fully Paid"
CA;01-12-2015;"Fully Paid"
NY;01-12-2015;"Fully Paid"
TX;01-12-2015;"Fully Paid"
GA;01-12-2015;"Fully Paid"
MD;01-12-2015;"Fully Paid"
FL;01-12-2015;"Fully Paid"
